jefe_hogar,genero,edad,estudiante,estado_civli,telefono_propio,smart_phone,desde_cuando_smart,mas_un_SIM,tipo_contrato,n_recarga_mensual,gasto_mensual_tel,empresa,porque_empresa,piensa_cambiarse,investigo_competencia,es_facil_cambiarse,paga_mas_esperado,nse,pobreza,empleo,ingreso_mensual,dist
1.0,2.0,55.0,2.0,5.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,2.0,23.0,2.0,2.0,7.0,1.0,3.0,3.0,1.0,1368.3333333333333,10101
2.0,1.0,28.0,1.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,110.0,2.0,23.0,2.0,1.0,7.0,2.0,3.0,3.0,2.0,0.0,10101
1.0,1.0,61.0,2.0,2.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,1.0,23.0,2.0,1.0,4.0,2.0,3.0,3.0,1.0,2583.333333333333,10101
2.0,2.0,49.0,2.0,2.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,4.0,22.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,0.0,10101
2.0,2.0,30.0,2.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,100.0,1.0,23.0,2.0,2.0,7.0,2.0,3.0,3.0,1.0,2750.0,10101
2.0,2.0,28.0,2.0,2.0,1.0,1.0,1.0,2.0,Pospago,0.0,50.0,4.0,23.0,2.0,1.0,7.0,2.0,3.0,3.0,2.0,0.0,10101
2.0,2.0,19.0,2.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,4.0,21.0,2.0,2.0,5.0,2.0,3.0,3.0,2.0,0.0,10101
2.0,1.0,26.0,2.0,2.0,1.0,1.0,1.0,2.0,Pospago,0.0,65.0,1.0,24.0,2.0,2.0,7.0,2.0,3.0,3.0,1.0,3500.0,10101
1.0,2.0,47.0,2.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,95.0,1.0,22.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,3000.0,10101
2.0,1.0,21.0,1.0,6.0,1.0,1.0,1.0,2.0,Prepago,3.0,6.0,1.0,21.0,2.0,3.0,5.0,2.0,3.0,3.0,2.0,0.0,10101
1.0,2.0,34.0,2.0,6.0,1.0,1.0,1.0,2.0,Pospago,0.0,29.9,4.0,25.0,2.0,3.0,4.0,2.0,5.0,3.0,1.0,637.5,10101
1.0,1.0,47.0,2.0,2.0,1.0,1.0,1.0,2.0,Pospago,0.0,50.0,4.0,22.0,2.0,1.0,5.0,1.0,2.0,3.0,1.0,11916.666666666666,10101
2.0,2.0,39.0,2.0,2.0,1.0,1.0,1.0,2.0,Pospago,0.0,50.0,4.0,22.0,2.0,1.0,5.0,1.0,2.0,3.0,1.0,11916.666666666666,10101
1.0,1.0,46.0,2.0,1.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,4.0,22.0,2.0,1.0,7.0,2.0,4.0,3.0,1.0,2700.0,10101
2.0,2.0,33.0,2.0,1.0,1.0,1.0,1.0,2.0,Pospago,0.0,30.0,4.0,23.0,2.0,1.0,7.0,2.0,4.0,3.0,2.0,0.0,10101
